"query","search interest","increase percent"
"tour du lịch hà nội",100,"-6%"
"du lịch hà nội",100,"-5%"
"tour hà nội",99,"-4%"
"tour trung quốc",90,"9%"
"du lịch trung quốc",90,"8%"
"tour du lịch trung quốc",90,"8%"
"công ty du lịch",88,"10%"
"du lịch việt",76,"20%"
"tour du lịch đà nẵng",73,"20%"
"du lịch đà nẵng",73,"20%"
"tour đà nẵng",73,"20%"
"vietravel tour",55,"-10%"
"vietravel",55,"-10%"
"tour du lịch vietravel",54,"-10%"
"tour du lịch việt nam",50,"20%"
"tour du lịch nhật",47,"-1%"
"tour nha trang",46,"-1%"
"du lịch nha trang",45,"-1%"
"tour du lịch nha trang",45,"-3%"
"tour đà lạt",44,"-1%"
"tour du lịch đà lạt",44,"0%"
"du lịch đà lạt",44,"-2%"
"du lịch hàn quốc",42,"-9%"
"tour hàn quốc",41,"-8%"
"tour du lịch hàn quốc",41,"-9%"
"du lịch thái lan",41,"-30%"
"tour du lịch thái lan",41,"-30%"
"tour thái lan",41,"-30%"
"tour du lịch phú quốc",35,"20%"
"du lịch phú quốc",35,"20%"
"du lịch nhật bản",35,"0%"
"tour phú quốc",35,"20%"
"tour du lịch nhật bản",34,"-4%"
"tour nhật bản",34,"-3%"
"tour miền tây",34,"4%"
"tour du lịch miền tây",34,"5%"
"du lịch miền tây",33,"4%"
"tour du lịch giá rẻ",33,"-2%"
"du lịch mỹ",30,"-10%"
"tour du lịch mỹ",30,"-10%"
"tour du lịch sài gòn",29,"0%"
"đặt tour du lịch",28,"10%"
"tour singapore",27,"1%"
"tour du lịch singapore",27,"0%"
"du lịch singapore",27,"-1%"
"du lịch huế",26,"-7%"
"du lịch hạ long",26,"-4%"
"tour du lịch huế",26,"-6%"
"tour du lịch hạ long",26,"-5%"
"tour du lịch tết",25,"-8%"
